Index,Address,Match,Exact,Address_2,Coords,Coords_2,Coords_3,Coords_4,Coords_5,Coords_6,Coords_7,Lon,Lat,Analysis (Copper),Analysis (Lead),City,Copper (ppb),Date Submitted,Lead (ppb),Sample Number,Street #,Street Name,Zip Code
4970,"1608  CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1608 CROMWELL AVE, FLINT, MI, 48503","-83.66882,43.02084",647468711.0,R,26.0,49.0,3000.0,1022.0,-83.66882,43.02084,Copper,Lead,FLINT,150.0,2016-02-02 13:24:30,3.0,LG07602,1608 ,CROMWELL AVE,48503
2306,"2732  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2732 BROWNELL BLVD, FLINT, MI, 48504","-83.727516,43.041607",69564568.0,R,26.0,49.0,900.0,2007.0,-83.727516,43.041607,Copper,Lead,FLINT,60.0,2016-02-17 13:31:30,1.0,LG14689,2732 ,BROWNELL BLVD,48504
2305,"2714  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2714 BROWNELL BLVD, FLINT, MI, 48504","-83.72751,43.0412",69564571.0,R,26.0,49.0,900.0,2015.0,-83.72751,43.0412,Copper,Lead,FLINT,0.0,2016-02-11 13:20:23,5.0,LG12336,2714 ,BROWNELL BLVD,48504
2304,"2707  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2707 BROWNELL BLVD, FLINT, MI, 48504","-83.72752,43.04109",69564571.0,L,26.0,49.0,900.0,1013.0,-83.72752,43.04109,Copper,Lead,FLINT,50.0,2016-02-10 14:14:16,13.0,LG11884,2707 ,BROWNELL BLVD,48504
2303,"2702 BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2702 BROWNELL BLVD, FLINT, MI, 48504","-83.72751,43.041065",69564571.0,R,26.0,49.0,900.0,2015.0,-83.72751,43.041065,Copper,Lead,FLINT,60.0,2016-03-12 12:20:39,7.0,LG22697,2702,BROWNELL BLVD,48504
2302,"2702  BROWNELL BLVD, FLINT, MI, ",Match,Exact,"2702 BROWNELL BLVD, FLINT, MI, 48504","-83.72751,43.041065",69564571.0,R,26.0,49.0,900.0,2015.0,-83.72751,43.041065,Copper,Lead,FLINT,100.0,2016-01-29 12:43:46,8.0,LG06016,2702 ,BROWNELL BLVD,
2301,"2644  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2644 BROWNELL BLVD, FLINT, MI, 48504","-83.727486,43.040413",69564571.0,R,26.0,49.0,900.0,2015.0,-83.727486,43.040413,Copper,Lead,FLINT,120.0,2016-01-27 13:57:31,2.0,LG05204,2644 ,BROWNELL BLVD,48504
3630,"3422  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3422 CLAIRMONT ST, FLINT, MI, 48503","-83.73141,42.997505",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.73141,42.997505,Copper,Lead,FLINT,80.0,2016-01-29 13:11:05,4.0,LG06200,3422 ,CLAIRMONT ST,48503
4961,"1521  CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1521 CROMWELL AVE, FLINT, MI, 48503","-83.669365,43.020596",69569267.0,L,26.0,49.0,3000.0,1013.0,-83.669365,43.020596,Copper,Lead,FLINT,80.0,2016-02-04 13:14:38,4.0,LG09148,1521 ,CROMWELL AVE,48503
3631,"3502  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3502 CLAIRMONT ST, FLINT, MI, 48503","-83.732124,42.997486",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.732124,42.997486,Copper,Lead,FLINT,70.0,2016-01-25 13:50:25,1.0,LG03820,3502 ,CLAIRMONT ST,48503
4964,"1521 CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1521 CROMWELL AVE, FLINT, MI, 48503","-83.669365,43.020596",69569267.0,L,26.0,49.0,3000.0,1013.0,-83.669365,43.020596,Copper,Lead,FLINT,80.0,2016-03-17 08:58:26,2.0,LG24758,1521,CROMWELL AVE,48503
3634,"3502 CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3502 CLAIRMONT ST, FLINT, MI, 48503","-83.732124,42.997486",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.732124,42.997486,Copper,Lead,FLINT,100.0,2016-03-16 09:28:23,2.0,LG24137,3502,CLAIRMONT ST,48503
2309,"2909  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2909 BROWNELL BLVD, FLINT, MI, 48504","-83.72758,43.042984",69564558.0,L,26.0,49.0,900.0,1012.0,-83.72758,43.042984,Copper,Lead,FLINT,100.0,2016-01-25 13:07:06,3.0,LG03694,2909 ,BROWNELL BLVD,48504
2308,"2807  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2807 BROWNELL BLVD, FLINT, MI, 48504","-83.72755,43.042236",69564566.0,L,26.0,49.0,900.0,1012.0,-83.72755,43.042236,Copper,Lead,FLINT,0.0,2016-01-26 13:57:48,5.0,LG04580,2807 ,BROWNELL BLVD,48504
4967,"1601  CROMWELL AVE, FLINT, MI, ",Match,Exact,"1601 CROMWELL AVE, FLINT, MI, 48503","-83.668945,43.020794",647468711.0,L,26.0,49.0,3000.0,1013.0,-83.668945,43.020794,Copper,Lead,FLINT,100.0,2016-01-28 13:03:00,0.0,LG05448,1601 ,CROMWELL AVE,
2307,"2801  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"2801 BROWNELL BLVD, FLINT, MI, 48504","-83.72755,43.0422",69564566.0,L,26.0,49.0,900.0,1012.0,-83.72755,43.0422,Copper,Lead,FLINT,0.0,2016-01-21 16:33:15,2.0,LG02222,2801 ,BROWNELL BLVD,48504
3637,"3506  CLAIRMONT ST, FLINT, MI, 48503",Match,Exact,"3506 CLAIRMONT ST, FLINT, MI, 48503","-83.732155,42.997486",69573589.0,R,26.0,49.0,3600.0,4019.0,-83.732155,42.997486,Copper,Lead,FLINT,60.0,2016-01-25 13:49:59,12.0,LG03802,3506 ,CLAIRMONT ST,48503
4968,"1607 CROMWELL AVE, FLINT, MI, 48503",Match,Exact,"1607 CROMWELL AVE, FLINT, MI, 48503","-83.66886,43.020836",647468711.0,L,26.0,49.0,3000.0,1013.0,-83.66886,43.020836,Copper,Lead,FLINT,110.0,2016-03-22 12:30:41,3.0,LG26852,1607,CROMWELL AVE,48503
4980,"1526  CRONK AVE, FLINT, MI, 48506",Match,Exact,"1526 CRONK AVE, FLINT, MI, 48506","-83.66602,43.030968",69569161.0,R,26.0,49.0,2600.0,3004.0,-83.66602,43.030968,Copper,Lead,FLINT,0.0,2016-02-05 13:10:10,2.0,LG09897,1526 ,CRONK AVE,48506
4981,"1606 CRONK AVE, FLINT, MI, 48506",Match,Exact,"1606 CRONK AVE, FLINT, MI, 48506","-83.66604,43.031258",69569161.0,R,26.0,49.0,2600.0,3004.0,-83.66604,43.031258,Copper,Lead,FLINT,0.0,2016-05-24 12:44:06,3.0,LG47191,1606,CRONK AVE,48506
4982,"2002  CROOKED LN, FLINT, MI, 48503",Match,Exact,"2002 CROOKED LN, FLINT, MI, 48503","-83.72645,42.993717",69573767.0,R,26.0,49.0,3600.0,6017.0,-83.72645,42.993717,Copper,Lead,FLINT,170.0,2016-01-21 13:39:51,3.0,LG01400,2002 ,CROOKED LN,48503
2320,"3302  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3302 BROWNELL BLVD, FLINT, MI, 48504","-83.72759,43.045345",69564552.0,R,26.0,49.0,900.0,2000.0,-83.72759,43.045345,Copper,Lead,FLINT,0.0,2016-03-03 12:23:58,0.0,LG20160,3302 ,BROWNELL BLVD,48504
2317,"3209  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3209 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.04468",69564552.0,L,26.0,49.0,900.0,1000.0,-83.7276,43.04468,Copper,Lead,FLINT,60.0,2016-02-18 13:01:21,0.0,LG15532,3209 ,BROWNELL BLVD,48504
2316,"3205  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3205 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.04465",69564552.0,L,26.0,49.0,900.0,1000.0,-83.7276,43.04465,Copper,Lead,FLINT,0.0,2016-01-31 12:38:35,0.0,LG06565,3205 ,BROWNELL BLVD,48504
2,"308 4TH AVE, FLINT, MI, 48503",Match,Non_Exact,"308 W 4TH AVE, FLINT, MI, 48503","-83.69805,43.02099",69597426.0,R,26.0,49.0,2800.0,2012.0,-83.69805,43.02099,Copper,Lead,FLINT,260.0,2016-03-06 12:14:59,0.0,LG20757,308,4TH AVE,48503
2315,"3201  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3201 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.044624",69564552.0,L,26.0,49.0,900.0,1000.0,-83.7276,43.044624,Copper,Lead,FLINT,230.0,2016-02-18 13:02:00,30.0,LG15558,3201 ,BROWNELL BLVD,48504
3,"2417  ADAIR ST, FLINT, MI, 48506",Match,Exact,"2417 ADAIR ST, FLINT, MI, 48506","-83.659935,43.0378",69570244.0,L,26.0,49.0,2300.0,3007.0,-83.659935,43.0378,Copper,Lead,FLINT,0.0,2016-02-02 13:28:23,7.0,LG07760,2417 ,ADAIR ST,48506
2314,"3117  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3117 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.04403",69564552.0,L,26.0,49.0,900.0,1000.0,-83.7276,43.04403,Copper,Lead,FLINT,150.0,2016-02-02 13:19:12,0.0,LG07415,3117 ,BROWNELL BLVD,48504
4,"2421  ADAIR ST, FLINT, MI, 48506",Match,Exact,"2421 ADAIR ST, FLINT, MI, 48506","-83.659935,43.037846",69570244.0,L,26.0,49.0,2300.0,3007.0,-83.659935,43.037846,Copper,Lead,,70.0,2016-02-08 13:05:21,8.0,LG10679,2421 ,ADAIR ST,48506
2313,"3116  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3116 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.04403",69564552.0,R,26.0,49.0,900.0,2000.0,-83.727585,43.04403,Copper,Lead,FLINT,90.0,2016-01-26 12:21:26,0.0,LG04154,3116 ,BROWNELL BLVD,48504
5,"2421 ADAIR ST, FLINT, MI, 48506",Match,Exact,"2421 ADAIR ST, FLINT, MI, 48506","-83.659935,43.037846",69570244.0,L,26.0,49.0,2300.0,3007.0,-83.659935,43.037846,Copper,Lead,FLINT,0.0,2016-04-25 13:25:18,7.0,LG39240,2421,ADAIR ST,48506
2312,"3102  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3102 BROWNELL BLVD, FLINT, MI, 48504","-83.727585,43.04393",69564552.0,R,26.0,49.0,900.0,2000.0,-83.727585,43.04393,Copper,Lead,FLINT,100.0,2015-12-10 15:08:50,2.0,LF95919,3102 ,BROWNELL BLVD,48504
6,"1817 ADAMS AVE, FLINT, MI, 48505",Match,Exact,"1817 ADAMS AVE, FLINT, MI, 48505","-83.703224,43.032547",69567410.0,L,26.0,49.0,1100.0,4032.0,-83.703224,43.032547,Copper,Lead,FLINT,0.0,2016-03-22 12:30:04,0.0,LG26816,1817,ADAMS AVE,48505
2311,"3101  BROWNELL BLVD, FLINT, MI, 48504",Match,Exact,"3101 BROWNELL BLVD, FLINT, MI, 48504","-83.7276,43.043915",69564552.0,L,26.0,49.0,900.0,1000.0,-83.7276,43.043915,Copper,Lead,FLINT,0.0,2016-02-10 14:13:27,0.0,LG11848,3101 ,BROWNELL BLVD,48504
